id,contest_id,author,creation_time_seconds,relative_time_seconds,problem_name,problem_type,programming_language,verdict,test_set,passed_test_count,time_consumed_millis,memory_consumed_bytes
254421937,1928,Relax_3,1711968589,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,108,10240000
254352953,1928,Krishbansal333,1711918996,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,10342400
254337611,1928,TNDT,1711908028,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,27340800
254337350,1928,TNDT,1711907860,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,27340800
254291907,1928,Krishbansal333,1711884374,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,139,10854400
254264180,1928,A_R_K1,1711870934,2147483647,Equalize,PROGRAMMING,GNU C11,TIME_LIMIT_EXCEEDED,TESTS,9,1000,1843200
254263458,1928,xiguangshuai,1711870611,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,420,8704000
254255719,1928,bkifhr6,1711867183,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,452,819200
254187727,1928,MightGuy4,1711818133,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,1638400
254184942,1928,MightGuy4,1711817615,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
254106886,1928,vjudge.9,1711804176,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,156,4812800
254105585,1928,luogu_bot4,1711803570,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,140,4812800
254087916,1928,vishal_113,1711795644,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,389,8089600
254075430,1928,vjudge.1,1711790768,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,171,7372800
254060283,1928,xyktyjayket,1711785598,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,77,819200
254050949,1928,Ryouko_miku,1711782538,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,78,64102400
253971352,1928,SafarovIsko000,1711729650,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,93,1638400
253970219,1928,SafarovIsko000,1711729120,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
253962293,1928,shivampandey9802,1711725631,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,483,9523200
